Filename,File_Size_KB,File_Type,MD5_Hash,SHA256_Hash,Compliance_Status,Subject_Type,Primary_Tags,License_Type
AmA_9_3251.jpg,517.27,image/jpeg,6a21007dec24f59fbfe6916862a15f49,746e3b2de6fe2c153d1209aa2dc12b6b2400bded2915ab8e381c22f143656a4c,CLEAR Act 2026 Compliant,Performance Artist / Musician,"Dynamic Lighting, Kinematic Posing, High Emotional Variance, Stage Setup",Commercial POC (Non-Exclusive)
AmA_7_2768.jpg,277.04,image/jpeg,80e9387d82483ee2d45172f77323f865,feb0496e6349865d86e9850520014b6fabb85db64a2ce00982aa5342743c6a9a,CLEAR Act 2026 Compliant,Performance Artist / Musician,"Dynamic Lighting, Kinematic Posing, High Emotional Variance, Stage Setup",Commercial POC (Non-Exclusive)
AmA_9_3287.jpg,282.07,image/jpeg,a698e1e76122dd3197e01a53507e4f18,e5cd8b09ecbcf95f63fd9ac9364d16fd9788d9a99ca16f67b9129dc2e2b33d23,CLEAR Act 2026 Compliant,Performance Artist / Musician,"Dynamic Lighting, Kinematic Posing, High Emotional Variance, Stage Setup",Commercial POC (Non-Exclusive)
AmA_01_3521.jpg,259.73,image/jpeg,ae6c2621a50dcccaad762fec7ef57a0f,6e39e580809b2b5d98b2ecc3a7536e0b41202dd7c76fe1c4cbb1e0e54638aeb5,CLEAR Act 2026 Compliant,Performance Artist / Musician,"Dynamic Lighting, Kinematic Posing, High Emotional Variance, Stage Setup",Commercial POC (Non-Exclusive)
AmA_2_0014.jpg,286.13,image/jpeg,fc9a2905ef5f2d70dd65ccf5c3f8fdd3,b2cbbd044617b0ebf97181ba0bdd816a33fb7cb889626a04061f1a22ce550726,CLEAR Act 2026 Compliant,Performance Artist / Musician,"Dynamic Lighting, Kinematic Posing, High Emotional Variance, Stage Setup",Commercial POC (Non-Exclusive)
AmA_5_1755.jpg,245.2,image/jpeg,8043e4a1fbe585c9a0a3fc05f1cecd56,853107b3e7132b987c9656023280fa64979b5b57b4f17f2bf0339f91986b75c7,CLEAR Act 2026 Compliant,Performance Artist / Musician,"Dynamic Lighting, Kinematic Posing, High Emotional Variance, Stage Setup",Commercial POC (Non-Exclusive)
AmA_4_1181.jpg,399.63,image/jpeg,c87627c75f4792cdae2227d0f833c124,287f680bf0f72b8ab43d8fd006741853894e0370f3baf48619d2928eff33b859,CLEAR Act 2026 Compliant,Performance Artist / Musician,"Dynamic Lighting, Kinematic Posing, High Emotional Variance, Stage Setup",Commercial POC (Non-Exclusive)
AmA_01_3320.jpg,277.62,image/jpeg,544e070378f6794000c440d109a912fc,b78d0be9f99da06e7f4dbebcef6ee6dba183294568615a48cdfc7cd61bd8eac0,CLEAR Act 2026 Compliant,Performance Artist / Musician,"Dynamic Lighting, Kinematic Posing, High Emotional Variance, Stage Setup",Commercial POC (Non-Exclusive)
AmA_8_2940.jpg,409.49,image/jpeg,023f496a7e7c02f480be26d321f5c769,fafac1ec8d210315f2b6ec84550c390d0a7cdacf9c5cf245afb9831ec282b064,CLEAR Act 2026 Compliant,Performance Artist / Musician,"Dynamic Lighting, Kinematic Posing, High Emotional Variance, Stage Setup",Commercial POC (Non-Exclusive)
AmA_01_3447.jpg,238.05,image/jpeg,2b85c8d172ab53bbaf63e175bd554556,bf8ab32e34c5bd8f8f14b006b0d5a3ed9b98b9086d8cb4ced771323cc03c770c,CLEAR Act 2026 Compliant,Performance Artist / Musician,"Dynamic Lighting, Kinematic Posing, High Emotional Variance, Stage Setup",Commercial POC (Non-Exclusive)
AmA_9_3282.jpg,216.31,image/jpeg,cab9460e094ab70667ccbe698499555c,ab8a6dadb1fbc27107e4f4c2a28694a026bdfe0c9f21e4f5420e71134d949041,CLEAR Act 2026 Compliant,Performance Artist / Musician,"Dynamic Lighting, Kinematic Posing, High Emotional Variance, Stage Setup",Commercial POC (Non-Exclusive)
AmA_5_1801.jpg,184.42,image/jpeg,f80e254826696bee857bc6b53167ea02,bc3f295bf61c8f556a1d344fd205a4e5e7f2ad0b7891e27cf42401230ae0d1ae,CLEAR Act 2026 Compliant,Performance Artist / Musician,"Dynamic Lighting, Kinematic Posing, High Emotional Variance, Stage Setup",Commercial POC (Non-Exclusive)
AmA_6_2131.jpg,151.59,image/jpeg,181c25e9aad27945379e7f619aecbdcc,0df769d74f987e7a17c243ee684b1ea8e75eec4bce07b6b59916a2d0f6b92a3a,CLEAR Act 2026 Compliant,Performance Artist / Musician,"Dynamic Lighting, Kinematic Posing, High Emotional Variance, Stage Setup",Commercial POC (Non-Exclusive)
